number,zeroes count,ones count,s,p-value,success
619947D766266250F76365ADD3C088F3B70BAEEB603DF04CE4E5DD37EF7FC259,117,139,22,0.16913144470267139,PASS
CDF1DCDB2A68DBA2C5C4AF885F888BDE722FF7A5EB95C966506F4C9A73F05D9,118,138,20,0.2112995473337106,PASS
E0FB52F312C6E42AB16CE2DDE771C31B07D6AACC95322775B6DAF7DF2A7C6A91,117,139,22,0.16913144470267139,PASS
8499ECD57DD156E94B8C7A5E51B8C4A4682D4611A16E2BFEAF681C452BEA1DAF,126,130,4,0.8025873486341526,PASS
A7053F2624BE98219F41019DFF6DACBBB03B155E71CA02E57C00460CE49DB8A3,133,123,10,0.5319710580974012,PASS
254E1C9EFD69D3B04C3CA44E64F07821FA4D3766AB5FD38E89F40331E221F4B3,127,129,2,0.9005235503397743,PASS
6D0EF4A3487331DF345810D9DDB14243011E13857C5A0C1D89203941FE3FB4D,139,117,22,0.16913144470267139,PASS
9B1A58D4F2442E1F4D2607F1A44FCFBFA8E63F94BA74D36E71E4379EF8570DF,118,138,20,0.2112995473337106,PASS
3BF4E535C72F627F3D5661BC8BB0E234C426962454BB7FEC2FF3D3F4B060675,120,136,16,0.31731050786291404,PASS
A055E6D1068E9A1A86D598C8533B7BED7AE489D9E24764667A984CF64C3197A7,128,128,0,1.0,PASS
B046D47DB2686A5D48F8836DF2EF0BA1F74F05C8E1A1FF2724BBCE25EB1DF175,119,137,18,0.2605890342736178,PASS
31A9E4D3B4C448A12100E11763D107DAAEE6D3102AA1539EB9E55859B7AA36F1,135,121,14,0.38157390570502125,PASS
42308FC6629525FB0D2D7E4D1A4991C65AFABE14FC6A1BF9585E8361DB028A7E,128,128,0,1.0,PASS
9BE358F0F0F39BEFDF4CC2A5931069F398271C00BF8790B3409E880FA43F0BEC,128,128,0,1.0,PASS
6A2663EC7ECDE86F3EDEBE943C558E6ECA0019BEF68AED0D0F010E444D30043F,128,128,0,1.0,PASS
5E6DDA281466A279AEFFF55F08F8A54BBD90FDFBDF1A8B41BBF7248F577A654,113,143,30,0.060792723530522785,PASS
51F73B3AE9A8A6C062C79394A3FCB45E28C47F975A28C87F0267C8C90B75A96A,127,129,2,0.9005235503397743,PASS
2B7A56993872B76F19CD34064FCE183B2D85D89A91C903B9D7AF1CFF9FA0AA7C,121,135,14,0.38157390570502125,PASS
AF3A670D5FF68F5F46DAB31E08551B0E5C320B0D5223FAEE6F92F21A25A5D980,125,131,6,0.7076604666545525,PASS
4BFEFA3B6064A57C9646139DF0D1287FB4A2197104D5E5ECE8417DDC61475734,126,130,4,0.8025873486341526,PASS
FB49C8290D8764C07763178B2C8DCF3EF5B7E237560EA8001146EA58D1CF8D67,129,127,2,0.9005235503397743,PASS
43D671BDEC5EF30D44BBED2356C84461980FC30ED44FE03A661CD94D5E59AD25,127,129,2,0.9005235503397743,PASS
C79265E665EB958EA34E5DEAA0B8EFA026394D91CE933375CD5E56D54A831AC2,125,131,6,0.7076604666545525,PASS
93E35EB8ACE7829C91CB8D010546212597DE71FDBFDD4A71C26FA641BE4C6757,123,133,10,0.5319710580974012,PASS
7E8CFA4C0F2A32A9E159CAF20B95556B616F63E0524CF20C5557BB8BDCB23B98,126,130,4,0.8025873486341526,PASS
7EA21CD6E97CBC111A1108A68AD8C651E03AB6E5FE2A9ACD98D5430C3689EBB8,132,124,8,0.6170750774519738,PASS
EDE63DC8EFCB8F35D06711C07D82EF410847D67B615A2C57A12919913BF811FF,124,132,8,0.6170750774519738,PASS
DDF0106997E73860988A09826A9EA463650E0B2CA355687B78EB493F13862DB7,134,122,12,0.4532547047537365,PASS
FEF727A4ECCDFC6099B26415FDEF7006AA488250935113CD11595A09D1B00CAD,133,123,10,0.5319710580974012,PASS
E33A558C119747994232BA9A6B3845B2F3109B0BE95AF5CF03BE02FDCF76A652,126,130,4,0.8025873486341526,PASS
47AD8B3C6EF28528D33B192C61EE4939C391E704EA4FF786E0D39F5C62699D08,127,129,2,0.9005235503397743,PASS
E587D5D701D31919296E7086587B4509CEE79987FAE8CA20089D002C19E852C3,139,117,22,0.16913144470267139,PASS
59EF52D94CCF8619AF501C05DC6BB98713882FC93FC6B0A9F9A8058D21D7E038,130,126,4,0.8025873486341526,PASS
99A3F00D654E0F3A569E2A495400DA90B7F8CD16C4D689FBF21596BF43C896BB,128,128,0,1.0,PASS
2AB76E8783054580E4BFD497AD2F8E2B0CE4F000C6E41630D3E2DA335170031F,137,119,18,0.2605890342736178,PASS
1CEB2D5105E5806DD66333AB91BBE4D19DB33ED74C9010E6FF7C3C67A99CC9A8,123,133,10,0.5319710580974012,PASS
77B99BFBCFAA69F4EFB3AB0D1193937E4EF5403926C31FA834C47E51E400CDD1,120,136,16,0.31731050786291404,PASS
C97A712C14782EFE95AF6562CCCED07CAA97DFCF8443C2D77B08D5D22D194050,127,129,2,0.9005235503397743,PASS
4AFC057A25C289511E51341D9010181948C5D017FDD5A3C7DE92203A366514C9,144,112,32,0.04550026389635853,PASS
B1A7EEC0A025EC838E75715F7E2C8E8FB7F8AE2312CC8FB908F2D2158B581D9A,126,130,4,0.8025873486341526,PASS
957B0225C490744E9BED140C4925F127F5AB1BF8955B84736B2395970C89CC9E,132,124,8,0.6170750774519738,PASS
1C475254E11908CFD10133F9F20E5C63B3E9134D71455877BC7BE1324080A3AF,135,121,14,0.38157390570502125,PASS
783920B57A0E4F6CDC7CCFC11A29FF9B2AA47D151172C7E8B7A87CDDC848C1F9,123,133,10,0.5319710580974012,PASS
500313143ABD8213970D59323C12F0A61CF73247FCC7BD80BF963C2308330D27,138,118,20,0.2112995473337106,PASS
F7A3CD04803CB26C27BD2CFBEFB6664D88BD21E8525A5295B9008C42CE99F305,131,125,6,0.7076604666545525,PASS
3516A429FCECCC8C7035BE4F9D5AD3B2E6CCA568AD49EBF64F3795EF59F27EA1,114,142,28,0.08011831372763423,PASS
E398DC5EA7C7E6D2A99CCD3CD7D65FE0BEAA05BDA1849E2F7C640A6E9E896C3A,118,138,20,0.2112995473337106,PASS
FB2FC3A61072D7B06CED938999919802DBA271AFE7537A81BB977A93E8F76A9,121,135,14,0.38157390570502125,PASS
8409479AA5A1279EE41ACE4EA84B0462A6EFE3FEA1B656BE006B4DE3154B5C0,135,121,14,0.38157390570502125,PASS
6ED1023A62FFFE780186C3847DE514B85B64EAFBCAF3973F8EF4C64BCECEF5FD,112,144,32,0.04550026389635853,PASS
624904EE5807ACBE9259E08A6F6CD62963C77AD0A8A797D65BD101EED8FC0036,131,125,6,0.7076604666545525,PASS
2E60391C05CA278D14F4E95A1EA9278258E52426EBFFD8F5139BE3347B85C34A,130,126,4,0.8025873486341526,PASS
CED1272E7FCBC47142E959BDD8A80A2D840C232F1244FABBDEE43395130E8F67,128,128,0,1.0,PASS
1908577A685DBD0D9FB953F35FD01F8F2D34E4BA7237E68D0582D93158208135,129,127,2,0.9005235503397743,PASS
AEF292A2198E2E7D24872911E562541B3F213B0D754BC235669D43D4795EDBE0,130,126,4,0.8025873486341526,PASS
4F7313C445A7E44BC235F75FB9D185A61CD1DB464D535C4897FFB6E86B450645,123,133,10,0.5319710580974012,PASS
90D004A50C5985CEF2B505690169D7107D2D4A4BDBFE8852CA9682846A1676D2,141,115,26,0.10416255883043901,PASS
E656FB7EF3DB44038692FF28DFF9A7E603853AF5F8BE35559555C6B0D908E62E,115,141,26,0.10416255883043901,PASS
CBC3C8200C8696887C9A736E2FD1161BF66AA8ED72907249DBE32F36126EACE5,129,127,2,0.9005235503397743,PASS
6EB3C90E325C1BB7637274C8964172C0B97BF5C3C72FD9071885F941E656C447,127,129,2,0.9005235503397743,PASS
C63C22C3DB05FAE78012E737160E2BA8824DB84915160F4AF07E716B4F770916,134,122,12,0.4532547047537365,PASS
332D41A19135C5D67E8E23360474A156C0DA786FE599908FA6544E9D0D0FC379,133,123,10,0.5319710580974012,PASS
D50D3917A4513D39AD75E2C1E5ED0CA9B9DD481D06CCAA0756FCA355E717FCDF,120,136,16,0.31731050786291404,PASS
93134FFBC9FFFCA9E9CFC2C2454EF398D03F662C24802A99764E70F5B8486237,124,132,8,0.6170750774519738,PASS
8E99A5F716B0FAEDC81FB6E93B2407FFEF4610C05464D39BCB2B25D330CCFBD,121,135,14,0.38157390570502125,PASS
1D3183F70F7CF1082F492E218A2B18FD8C79C3988B92DE6F74E606FD3A53B1E0,127,129,2,0.9005235503397743,PASS
6CD4EFF065ED652BCA2B0DD881C34B89F33227E34182CB30E4A8278AA2EDABF1,129,127,2,0.9005235503397743,PASS
445873CE38D5DD2D2086380CA05C8F510F92D39E0DE327058B1F1B4B25DB0D0,140,116,24,0.13361440253771617,PASS
3BF88D15517AA3ABD819092C001880636CA99D9DB68111C0BB043CA31AD5F1E0,143,113,30,0.060792723530522785,PASS
F103329A8B74598B818BCFE225BDE0C404A7A75459978B251E190C1BEF4C3421,137,119,18,0.2605890342736178,PASS
D1AB87E4FEA4F607FB92AE431F67AD5E6D341ED5666A14F7C032A106505C9680,127,129,2,0.9005235503397743,PASS
2ABD7A026D68064BBC5E62FF453882A9F9AA98133F97927EB0E27BF115B9C4F3,123,133,10,0.5319710580974012,PASS
4AAE16DA37169125900483495629512BF577EAAB68EA1AAAD45CEA6EA55E15C1,133,123,10,0.5319710580974012,PASS
FAE18C80BCDEEABF961A59324A0EAE9C771D40053CA9A0D10D551237FB23D5A,132,124,8,0.6170750774519738,PASS
742BD761C051847CAE82E5D9430E61F0F9101D204EAE64D06D67021D804C4502,147,109,38,0.01754895019147673,PASS
A678213F343EDF390C59216D2314729F28CD92C140C8B1EE7F3DF5B944F0C791,129,127,2,0.9005235503397743,PASS
8DDDB7BE880EB5D0BDA8393C49DAA3020E3C99EDC281B63316510527E2FC09D8,132,124,8,0.6170750774519738,PASS
D13480A7D4D4E3481456943D876A5AEB0D28C75C4301816FCA3152319F25891D,141,115,26,0.10416255883043901,PASS
9BC66808ADE4F9AE6506ACCD89B6880ADF8AEE4C02FA2A47CE0DED70817D01A,135,121,14,0.38157390570502125,PASS
F129DC076C22EF5CF7CB8CC2918AD99755BF33ECBE2114735144F057639E7774,121,135,14,0.38157390570502125,PASS
BD9671673BCEDE9419CC6402EA96F8A8C92DDA4047CCA446AB0BDCB348C40A2E,133,123,10,0.5319710580974012,PASS
C137A802301BFE6D3E1355817AA11D1FCB52FD065C5638A3C71677E0AA76D921,130,126,4,0.8025873486341526,PASS
C10019E78A8FCFF4CCE7C27BD79106EA187D3364F46627FFE9B74B7BE4361A8F,117,139,22,0.16913144470267139,PASS
9FE3EF901C467EC2FF171695B6706DA1A71C811380A57B5EE4C23EA7BF8BA7E6,119,137,18,0.2605890342736178,PASS
C4576255390BFC75BFBEEBB07BAAC02F36F2FF10BA86E3556A78A4A8A2F5C65A,118,138,20,0.2112995473337106,PASS
67AA7BF5E9ED9CD55173D8DDF1BB17D7EE9083CA77EA59250A44F17F952F119E,111,145,34,0.03358661289689768,PASS
B98B89F1EFEE0EA727891FACDCD1AC367CF07D083124D0140F55BB260C019009,135,121,14,0.38157390570502125,PASS
109FA7877F43CDA97B2B2C75965C6291D7F087548D132FDE5C2E7CB62B17B95B,118,138,20,0.2112995473337106,PASS
DCE11203019CD26766F230A20FDC3CF9D1FE4C40AD853C60950B6467B73BAFCE,130,126,4,0.8025873486341526,PASS
2509047AF33E4879D0A13901CABC85403A35EECC675CB899DB7137DF5785AE86,130,126,4,0.8025873486341526,PASS
D1ACD3AB5B6ECFD614D29695BB47FD118343B29C8BB26E8848D51EBC47027333,125,131,6,0.7076604666545525,PASS
2A991B50F28F912C7BE2DDF0AE93893882C226D07835CA3F21F98C95D26BEE0C,131,125,6,0.7076604666545525,PASS
F6B08D773F92154BCD85CA1BCFDF46C5001C8DA1F9F45AA9129784FAD381F50C,126,130,4,0.8025873486341526,PASS
20E5CF9C8304FED67939F0742F664E402AD0ED84369594A7AFA1FF2416B70341,131,125,6,0.7076604666545525,PASS
449E3E399B493A2B4B9403146C886BC345E21A6F39A38E3749DBA8CBC0B5A501,136,120,16,0.31731050786291404,PASS
A6B4B4918241C68E5A4CAA7BDAE17FB36FC61B2F0B99A86A9C47C3F27FD012D2,125,131,6,0.7076604666545525,PASS
211AE8D7E2CB311D91E1EBD56D03B2F77BF2271FBB672B1661DDCF0161A6E1DA,119,137,18,0.2605890342736178,PASS
5C014F0A1FE07950C11CD4BA326CC63EC97C4E893238E5EF0BA31B4AF17D573A,130,126,4,0.8025873486341526,PASS
9799A59F22890A269ED0492E965D17309E56AD3EFDD1A03137FC262F9415203,134,122,12,0.4532547047537365,PASS
94E43A8B2D037E64F5FAD4D82E2DF9CAF0E66370DCE7ACBA75FBA47074A7D7FF,111,145,34,0.03358661289689768,PASS
AF4C107B9184D1F1F3849AB26F8A1002C9A7859D3EB8993999693E0AC1577F16,132,124,8,0.6170750774519738,PASS
8EA6DD0E5210FC3CDC67760C9B45A14BBBF321CA31EB107860CCBAE1F21E5FAA,127,129,2,0.9005235503397743,PASS
4F7C620C0A2C794455A58C89327672A381CBEE49F8E9F264D534DB20231A8124,140,116,24,0.13361440253771617,PASS
F478A7ABDD40DE7AC4142B78C1CBFF5C927A53535E46991AF2009B0681EDE5A7,125,131,6,0.7076604666545525,PASS
F0F2BE122534B1B554D2842522CCEAF1FC514829A4565BE97F2EA55AB9C71C38,130,126,4,0.8025873486341526,PASS
E46B6CE86FAA17D31FC532171B754B3E079DEFE895156DA85F4A881A73186AD6,122,134,12,0.4532547047537365,PASS
3FFEBD05F4A79B059B487DA95A7B1EFD7E8E30A18FE5BE8AA7FDEAC17ACB0949,111,145,34,0.03358661289689768,PASS
402831FF5AF1E254B4B4162583CDB68872233ECA1A1151104BCC1D58AA8DE8D7,139,117,22,0.16913144470267139,PASS
D133987FACCE63A85C62839CDAA19C223E900274DB61998BAB48D02373635A0C,137,119,18,0.2605890342736178,PASS
6E470AE43F4312024FB2A381DC84EAEB9ECE3E6200C5584D664A5ABFED247772,131,125,6,0.7076604666545525,PASS
262835DDA03A40629A29A1133640F2913A6FDDF2D5BF023FB168CAAFDB60EA57,130,126,4,0.8025873486341526,PASS
992D50933328BB634A6160338C9CD19A97D3DCAD0F9A71CD527FE976594EA00E,129,127,2,0.9005235503397743,PASS
EF3585B6F5B02A8650E366F3E88C6C8021A9231A2AD7757F553725053E5650FC,129,127,2,0.9005235503397743,PASS
C5DDDFDE3ED7DCCE62E7EB8A507FD5FE6429DF6554D9BB06B7977891070A3F8C,108,148,40,0.0124193306515523,PASS
6010EF76B356F2D85D1494C3507EF47FE375D12A59E71FBA0AEEEFED7CC472C6,115,141,26,0.10416255883043901,PASS
C99BC19E628FB51D8936533FEC14A42F5053AA5AC5FB354E1A0E25C2A9DF55B4,126,130,4,0.8025873486341526,PASS
140716C7CF127A0A3FCF80854CEE255E721B070A3A71D49D04567794BA3BC87F,131,125,6,0.7076604666545525,PASS
7D946848D64B43A6F6E8A1B02889C1B215A97E70515A44C1547754CF46C4DE1A,137,119,18,0.2605890342736178,PASS
8522532FC70E7BF6EB1681ED9D57C554A18F3893B616517ADC5AD4EE040CC706,128,128,0,1.0,PASS
40BCE60B8A05B4AB679385CFF88E37B2BABD0EE3202E9EABE4324D93A7C8580C,130,126,4,0.8025873486341526,PASS
BEB66044B0A53C242BC8FD77944CB2E51A017645D90EEAC3F1E7701558AE48B8,133,123,10,0.5319710580974012,PASS
38D293E94070A8CF08FAA2F94873462985E50D14C4ADCBCEF9625540F48DB8C7,135,121,14,0.38157390570502125,PASS
52ABF622013DA118640064F60134FC2E0FFEFF0495E092328527954EF6B99344,138,118,20,0.2112995473337106,PASS
94FF2210AF0C0639CE6D9CF1D9F5993D01D4DFA6E895113AD3452E584C1BB828,131,125,6,0.7076604666545525,PASS
4C567E519752EF601073D7DCD00D435C18C7D25FC60ECDD29FE82B4060E6A133,131,125,6,0.7076604666545525,PASS
5B67E98A090EC3BC1B0132B6C078FA40CE44D0D026183786292678DF85279B6,141,115,26,0.10416255883043901,PASS
,256,0,256,1.2777508801076536e-57,FAIL
7D5CD2B6F84EB6C3BEE325DF94F092E3407660350DBE750F339AE3B3CBF7ABE4,114,142,28,0.08011831372763423,PASS
5E8D650626F6D7996A9A5B378EFC85FD6C6270D9EAEFB906B6EED98E751161B3,115,141,26,0.10416255883043901,PASS
A5F37649D91B7E765700534317761C622D366E48E76924953148AFF5F590A693,127,129,2,0.9005235503397743,PASS
AA43F304C6ACCB520F86E3B609932DD88318B0F943CB09C1B26586CE3E8AFAD8,134,122,12,0.4532547047537365,PASS
8745AD97B5CF0A9485433E8F2D41026E71CE24DD74C4281C3C7B2A190F0E699A,135,121,14,0.38157390570502125,PASS
E4833DC7F8CCBB49BA700740DB5A920EDDC81DE28B2AC163C4A362D08BB03ADA,133,123,10,0.5319710580974012,PASS
E3C118B3495CF77216CBA9590ECB4CB5C9D3E98F0461802B48CB42D022276631,138,118,20,0.2112995473337106,PASS
60A669BB37FC15076B0A538CE6C2D3E4E785664462CEC1EBCACD80F7F0C89AD5,127,129,2,0.9005235503397743,PASS
E666652DA9440CB7CEFF4EE803DA567E15053A2FF0649AD4DB189867261866A6,129,127,2,0.9005235503397743,PASS
3EE6EE607F5432850E28628CCCAF1105A2A2EE076D8AA80D43F66EBEA262A607,135,121,14,0.38157390570502125,PASS
8BC379BAB30A628D7901846416F0C85EFCB6C09CF847BF8F0E7A8F83F388411,133,123,10,0.5319710580974012,PASS
AE648BA56A1CCDF520B229C30BCD11495F080A6F2A3091018E1F52693B31A243,143,113,30,0.060792723530522785,PASS
A695BFE739CF3FF9FDA42487C03821EF96929313D2596C75C66099BABD6C5BA,120,136,16,0.31731050786291404,PASS
8AA27994D980F627CF9F8A4DD77168B6DC1BAD10D3662A8B61A3D9C3A195D011,130,126,4,0.8025873486341526,PASS
C439AED4893C495368380B4DB2FFED7AFABAC1E9CA1879C9BCD1A12A179C84FD,124,132,8,0.6170750774519738,PASS
707243A8EA9DB3FDA6AD86A20B7B558279981FD8D3BE6F8B17CE8649CDA71241,124,132,8,0.6170750774519738,PASS
68608AFBB6EC949B9D399F4E54C364496EFCB9B767FFD329AF33FE4B46869214,116,140,24,0.13361440253771617,PASS
CBE968AEC61CA497D87FDC8D1AD5F7EC31F746AA8C26E31D734D8BA78D8B1A3,120,136,16,0.31731050786291404,PASS
543227C3016FFE59627B0A82B4FDA9AC066B3B0DBF72B73554F93299FE0CECF3,120,136,16,0.31731050786291404,PASS
41D8626D214465729ED87458A0DFACA74D1FFD4B0288A4B75B2AFE8FFBD7DFF1,119,137,18,0.2605890342736178,PASS
9A0EC0B2528B973BC0F52F27DC6CD4CF5D150FDC445C73311C7EFDE84F6F7142,122,134,12,0.4532547047537365,PASS
C9D632026BF7662B1CBF9280F26BA49C98D908E2338A899FECFB01A3A20B0448,137,119,18,0.2605890342736178,PASS
D509218BEDCF95AECE53E5A77C44CD1D45F57065A21703D36B6B29FA9C5BE845,122,134,12,0.4532547047537365,PASS
3A170392C83AD23DEA1743A3BA4D23A66CE8C8908E336FE27998E8CD925B3537,130,126,4,0.8025873486341526,PASS
,256,0,256,1.2777508801076536e-57,FAIL
3F17CF3202014E27061CE8CAA994A3A86AA470ACC02D3DD6AE64DD5FF738BF3,131,125,6,0.7076604666545525,PASS
FD9C8C59E26CF93E1A2057F687B6916BF0929FEF4DE847468FB32DA688C07485,123,133,10,0.5319710580974012,PASS
D9C2C83712FAC00E9C312B6645E152C683A82D9803FC52EFF605F9ED2D08F22D,133,123,10,0.5319710580974012,PASS
3910EEDD9818559A28871CF72C3F8948D334B6D58459953A1518FF6381880F8,138,118,20,0.2112995473337106,PASS
A20351E711AE3D5EF2095D752EC4A0C439D7992E9F9F24770AE84172DAA4D3CC,129,127,2,0.9005235503397743,PASS
8F085B2A07DAC979CDA8CEE3DE17E44F8000EEACEBC9BB6AC7C466D8372BE301,126,130,4,0.8025873486341526,PASS
E1272A53F4C0F608585A06CD8966F48CDBBE41C8711B8F74F46176CD49A71350,133,123,10,0.5319710580974012,PASS
68195F22865C0B4BFCE8DD6A91CC2550F58470E4A66B18AF89231EC06A575969,135,121,14,0.38157390570502125,PASS
C7A3709B896F736D4C3953B81919F0D98A2586112974FAA0E04176E0011CFFB,136,120,16,0.31731050786291404,PASS
48BF13C2C4CE0728E22CE322ED0D41778E57B41CDEBC8CD0FD4BF8F7029A0EB5,128,128,0,1.0,PASS
B6AE9338C80855F644E4A69B2FAF3FB767D627BDB110F21AB47F9E217F7780DD,116,140,24,0.13361440253771617,PASS
6BFF0D132B372F9218EDA125FD8286D6634B4F9131A2D675F5ADA215800D4EC6,128,128,0,1.0,PASS
486AC53BAEBD8123D311C9052612FD5EA107EA5B89E1691289A24D63D38EFFC1,132,124,8,0.6170750774519738,PASS
F059AD5BFC3893407A5438A2E9DF0A5BD8E3866E7BE1EBF0221C1576EB6B5A05,124,132,8,0.6170750774519738,PASS
94CC396B0177360869313CA4A61CD35EF5F57A61C48DA77641560B69836BDBC5,129,127,2,0.9005235503397743,PASS
9A50177A272E9F696CA50F5865B6A3F73AC8667712B027DDE9B7C83E3B9534C4,122,134,12,0.4532547047537365,PASS
A2B16DBDEE0E2DC4224658F59076C72F1902A44059902C35063EC60A1D98EF0,143,113,30,0.060792723530522785,PASS
58F6715890B0FE692C50657D9AD83CF90F1A2C05D7763FD508A31AC842F2FBC7,127,129,2,0.9005235503397743,PASS
BDB03DBE0A8DF9310F07B8AACE1161991E7248C38A7C5B09D306873E14E5E17B,130,126,4,0.8025873486341526,PASS
6727CA68FB5A5AA99433CE14D19E640A0E498220E902BE6AF5C4302D53CF7F41,134,122,12,0.4532547047537365,PASS
4BA13E5AFCA6E8725233C23B8E92383419F09AF48EA7AA6A6E20F4623D36E023,132,124,8,0.6170750774519738,PASS
4FE82124D273B316A204D1EED9C3530219A0EA6F65CD9DDF45265E248C270F57,132,124,8,0.6170750774519738,PASS
524515E3615685AE8D38A9F12A5129E8D38614D49348A0C1709928DE4B9DD189,142,114,28,0.08011831372763423,PASS
6A2B72A9B6E17B44DC2C60C11081854CD9A10A1FA64B1AE148BDED5734C90424,142,114,28,0.08011831372763423,PASS
9D4D4901CDF23607AAB3862F1ACDF0D640560299529B16618EB83EA1A50E46F5,136,120,16,0.31731050786291404,PASS
A5FE6659909ABA6B13B6FBE0BF84AB2813DFDFB72F5B59E81113C5F8193CF735,114,142,28,0.08011831372763423,PASS
F68B6162C30884D1438127D106EEE1569BC0BA1794224135B17EBBDFFAD2FE3,131,125,6,0.7076604666545525,PASS
FE5147A856E4A970321B56D8DC9B6069C107B2DD1CD831FADEF433844D37BF1F,123,133,10,0.5319710580974012,PASS
6C7BA81B14802A8D7B823084F6601C620C1B66545337A7A876AB27296790E74A,140,116,24,0.13361440253771617,PASS
E55BB916C53BAD3C34085EEE5ACE7549E9115C17176FA61751DB77C639F1103C,122,134,12,0.4532547047537365,PASS
A307A347DF77451E8EBB8D08CB3A21665923074B9DF381FD1A1FD4700CC7102,133,123,10,0.5319710580974012,PASS
1D1892209A70FDA23C2191195D9EE3DC5CE9266D765CA9406C5F930B2E08DA76,134,122,12,0.4532547047537365,PASS
618F8CAF51C1916323D767231318F707E4F8E0884DEBF799B65723656B78049E,127,129,2,0.9005235503397743,PASS
7258B8ED331CB4CA2C07ED62189F47D9B36D00A8B18443B43FEE364350C2ECFF,129,127,2,0.9005235503397743,PASS
8EC5A73151D27E84BD22A890DF785488DECCF5D819AA90C8004BCB31BE6A2839,136,120,16,0.31731050786291404,PASS
850D79B50DA6E90DDEA3069A625BE9D34B8B0FB8B65FF291FE6079CF2FF92039,120,136,16,0.31731050786291404,PASS
F8F6B8668DA9343000913F6F0499EB785756DBA071A3B41A7C386306D9607B26,132,124,8,0.6170750774519738,PASS
6AE1F0D5ACD058673DD6ECA47FFC44E3B92C1E6E28EB0D6024DE650D5D997C48,125,131,6,0.7076604666545525,PASS
